Item_Number,District,Location,Disposition,Signal_Type,Signal_Description,Occurred_Date_Time,Charge_Code,Charge_Description,Offender_Race,Offender_Gender,Offender_Age,Offender_Number,Person_Type,Victim_Race,Victim_Gender,Victim_Age,Victim_Number,Victim_Fatal_Status,Hate_Crime,Report_Type
A-00021-19,4,3020 PARC FONTAINE  #820,OPEN,94,ILLEGAL USE OF WEAPONS,1/1/2019 0:03,14 94,ILLEGAL USE OF WEAPONS,NULL,NULL,NULL,1,VICTIM,BLACK,MALE,22,1,Non-fatal,,Incident Report
A-00021-19,4,3020 PARC FONTAINE  #820,OPEN,94,ILLEGAL USE OF WEAPONS,1/1/2019 0:03,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,NULL,NULL,NULL,1,VICTIM,BLACK,MALE,22,1,Non-fatal,,Incident Report
A-00033-19,6,1800 MARTIN LUTHER KING JR BD,CLOSED,67AR,AUTO THEFT & RECOVERY,1/1/2019 0:13,14 67.26,THEFT OF A MOTOR VEHICLE,BLACK,MALE,NULL,2,VICTIM,BLACK,FEMALE,35,1,Non-fatal,,Incident Report
A-00033-19,6,1800 MARTIN LUTHER KING JR BD,CLOSED,67AR,AUTO THEFT & RECOVERY,1/1/2019 0:13,NULL,NULL,BLACK,MALE,20,1,REPORTING PERSON,BLACK,FEMALE,61,2,Non-fatal,,Incident Report
A-00033-19,6,1800 MARTIN LUTHER KING JR BD,CLOSED,67AR,AUTO THEFT & RECOVERY,1/1/2019 0:13,NULL,NULL,BLACK,MALE,NULL,2,REPORTING PERSON,BLACK,FEMALE,61,2,Non-fatal,,Incident Report
A-00033-19,6,1800 MARTIN LUTHER KING JR BD,CLOSED,67AR,AUTO THEFT & RECOVERY,1/1/2019 0:13,14 67.26,THEFT OF A MOTOR VEHICLE,BLACK,MALE,20,1,VICTIM,BLACK,FEMALE,35,1,Non-fatal,,Incident Report
A-00033-19,6,1800 MARTIN LUTHER KING JR BD,CLOSED,67AR,AUTO THEFT & RECOVERY,1/1/2019 0:13,14 69,ILLEGAL POSSESSION OF STOLEN THINGS,BLACK,MALE,20,1,VICTIM,BLACK,FEMALE,35,1,Non-fatal,,Incident Report
A-00033-19,6,1800 MARTIN LUTHER KING JR BD,CLOSED,67AR,AUTO THEFT & RECOVERY,1/1/2019 0:13,14 69,ILLEGAL POSSESSION OF STOLEN THINGS,BLACK,MALE,NULL,2,VICTIM,BLACK,FEMALE,35,1,Non-fatal,,Incident Report
A-00035-19,7,7800 SUN ST,OPEN,80,CARNAL KNOWLEDGE OF A JUVENILE,1/1/2019 0:15,NULL,NULL,NULL,NULL,NULL,NULL,VICTIM,BLACK,FEMALE,15,1,Non-fatal,,Incident Report
A-00040-19,4,2600 GENERAL DE GAULLE DR,OPEN,39,NEGLIGENT INJURING,1/1/2019 0:10,NULL,NULL,NULL,NULL,NULL,NULL,VICTIM,BLACK,FEMALE,31,1,Non-fatal,,Supplemental Report
A-00057-19,8,1008 N PETERS ST,OPEN,67A,AUTO THEFT,1/1/2019 0:26,14 67.26,THEFT OF A MOTOR VEHICLE,NULL,NULL,NULL,1,VICTIM,HISPANIC,FEMALE,28,1,Non-fatal,,Incident Report
A-00061-19,7,4700 REYNES ST,CLOSED,17F,FUGITIVE ATTACHMENT,1/1/2019 0:30,FUGITIVE ATTACHMENT,WARRANT ISSUED BY,BLACK,MALE,26,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-00076-19,6,1930  MARTIN LUTHER KING JR BD,OPEN,94,ILLEGAL USE OF WEAPONS,1/1/2019 0:25,NULL,NULL,NULL,NULL,NULL,NULL,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-00080-19,6,2329 LAUREL ST,OPEN,103D,DISTURBANCE (DOMESTIC),1/1/2019 0:37,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,WHITE,MALE,37,1,Non-fatal,,Incident Report
A-00080-19,6,2329 LAUREL ST,OPEN,103D,DISTURBANCE (DOMESTIC),1/1/2019 0:37,NULL,NULL,NULL,NULL,NULL,NULL,INTERVIEW,WHITE,FEMALE,35,2,Non-fatal,,Incident Report
A-00082-19,8,SAINT ANN ST & DECATUR ST,OPEN,35,SIMPLE BATTERY,1/1/2019 0:15,54 96,BATTERY,BLACK,FEMALE,NULL,1,VICTIM,WHITE,FEMALE,44,1,Non-fatal,,Incident Report
A-00082-19,8,SAINT ANN ST & DECATUR ST,OPEN,35,SIMPLE BATTERY,1/1/2019 0:15,54 96,BATTERY,BLACK,FEMALE,NULL,2,VICTIM,WHITE,FEMALE,44,1,Non-fatal,,Incident Report
A-00090-19,8,100 BOURBON ST,OPEN,21P,LOST PROPERTY,1/1/2019 0:35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Non-fatal,,Supplemental Report
A-00108-19,8,938 SAINT LOUIS ST,OPEN,103,DISTURBANCE,1/1/2019 0:50,NULL,NULL,BLACK,FEMALE,NULL,1,WITNESS,WHITE,MALE,74,1,Non-fatal,,Incident Report
A-00108-19,8,938 SAINT LOUIS ST,OPEN,103,DISTURBANCE,1/1/2019 0:50,14 103,DISTURBING THE PEACE,BLACK,FEMALE,NULL,1,VICTIM,WHITE,FEMALE,56,1,Non-fatal,,Incident Report
A-00108-19,8,938 SAINT LOUIS ST,OPEN,103,DISTURBANCE,1/1/2019 0:50,NULL,NULL,BLACK,FEMALE,NULL,1,WITNESS,WHITE,FEMALE,17,2,Non-fatal,,Incident Report
